Region,Year,label,poultry_density,max_temp_q1,max_temp_q2,max_temp_q3,max_temp_q4,min_temp_q1,min_temp_q2,min_temp_q3,min_temp_q4,mean_temp_q1,mean_temp_q2,mean_temp_q3,mean_temp_q4,total_rain_q1,total_rain_q2,total_rain_q3,total_rain_q4,Loading,Unloading,Pop_total,F_TOTAL,F_Y_15-64,F_Y_GE65,F_Y_LT15,GDP_Annual,M_TOTAL,M_Y_GE65,M_Y_LT15,M_Y15-64,ndvi_q1,ndvi_q2,ndvi_q3,ndvi_q4,ndwi_q1,ndwi_q2,ndwi_q3,ndwi_q4,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,lai_hv_q1,lai_hv_q2,lai_lv_q1,lai_lv_q2
BG412,2021,0,4163,8.1943093,19.13756968,28.50735435,21.63839963,-2.764279517,-2.827784929,11.29493292,3.196711062,1.239302057,7.303966814,19.98951188,10.13527242,299.1600036,216.5400096,117.5466689,149.9133358,6320,6407,238476,121215,72643,32851,15326,2093.82,111249,21757,16434,77941,0.39,0.6,0.625,0.538,0.248333333,0.265277778,0.359166667,0.186666667,12.59628404,5.8585415,22.44344965,776.9769617,26.053333,-0.050236598,26.1035696,4.318070098,21.89760364,22.7388666,4.118095278,783.1600178,181.9000005,20.25333378,65.92650641,312.406672,95.44000208,117.5466689,299.1600036,1.290557867,1.9879761,2.7488708,3.034607
BG413,2021,0,4163,8.206606809,18.14948335,27.5661611,21.02173295,-2.381290209,-2.899354783,10.88526641,3.42993324,1.478829475,6.791553244,19.24787919,10.14671456,364.5800062,235.0999996,122.7700009,187.9299985,3932,3881,301138,154769,97758,35349,21761,1670.04,147231,24944,22751,98513,0.405,0.675,0.718,0.599,0.298333333,0.278333333,0.284166667,0.197222222,12.34487202,5.857255807,22.44686428,743.4150691,26.396,0.302129006,26.09387099,5.992168007,21.36017869,22.09510593,4.318366597,910.3800052,220.1200057,25.1500001,69.75000367,382.2900043,95.76000082,122.7700009,377.9700044,1.2463684,1.8859253,2.1858826,2.480835
BG423,2021,0,21995,7.909240896,18.58883026,28.0525399,21.38241643,-2.477862809,-2.630282201,11.47124988,3.441208262,1.477570976,7.125391456,19.73994389,10.35533576,315.3749986,225.4125026,119.2750015,166.8250041,2986,2748,251300,128479,78186,31957,18531,1417.79,123715,20976,19696,82108,0.5,0.688,0.572,0.587,0.194166667,0.25,0.11,0.133333333,12.56467598,5.780230912,22.13915899,761.0904185,26.44125,0.33262088,26.10862912,4.420075654,21.84761084,22.53434695,4.420075654,826.8875068,192.4624985,17.25000012,67.98070045,341.3249982,75.56249922,119.2750015,341.3249982,1.8072001,2.464457233,2.303833,2.5982056
CH011,2021,0,8208,7.514714086,13.41167733,21.9206659,19.5818664,-4.656386894,-1.426387077,10.48554823,-0.600066657,0.500278035,5.795384141,15.8026284,8.156049245,337.8000043,269.1400067,430.2600077,161.9400037,18255,17777,814762,414545,273644,76557,63796,-999,395189,57345,67543,274719,0.523,0.712,0.678,0.638,0.1625,0.2875,0.213333333,0.219166667,10.38795904,5.648748178,24.31951294,602.3144627,21.588,-1.639225776,23.22722578,15.93852926,6.911831005,18.25364753,3.652138917,1199.140022,195.6400057,35.77999994,58.31070419,519.5000071,139.0200047,430.2600077,337.8000043,1.7539571,2.593790667,1.5018921,1.905304
CH061,2021,0,6300,7.321071321,14.69241907,23.60649953,20.24999977,-3.047096726,-0.162258057,12.17064469,0.833333332,1.260249603,6.988643195,16.91722903,8.926250728,336.0500089,289.4500043,593.3500132,137.0500017,19781,21920,416347,208765,136520,41114,30733,-999,205976,33320,33188,140218,0.323,0.708,0.733,0.588,0.124166667,0.33,0.291666667,0.176944444,11.5840464,6.121906529,25.95003731,619.8826831,23.234999,-0.356129039,23.59112804,17.60912498,11.34562503,19.68778101,4.577624801,1355.900028,298.0000064,36.70000042,70.56506704,657.5000115,137.0500017,593.3500132,336.0500089,2.529001867,3.222737633,1.257904,1.651947
CH063,2021,0,6300,5.854999824,12.23258039,21.0796664,17.94999977,-5.545161249,-2.174516103,10.28354808,-0.788333329,-0.270775736,4.683150433,14.80933304,7.504121711,387.4000062,284.8000029,595.0000127,183.0000021,4852,5406,162157,79048,52118,15492,11300,-999,82213,14057,12096,56644,0.023,0.23,0.562,0.272,0.525,0.470277778,0.298333333,0.484444444,9.865728664,6.368542605,26.92352455,595.3619362,21.16,-2.494193535,23.65419354,15.5663332,6.399520709,17.54799985,3.049397784,1450.200024,302.1000047,32.5000007,67.24430678,631.900011,166.1000027,595.0000127,408.6000049,3.3380635,3.853027367,1.6512451,2.1766968
CH066,2021,0,6300,6.906785621,13.86451584,22.69799973,19.32466633,-4.047741852,-0.889032245,11.54225781,0.180999991,0.764512283,6.183397709,16.1365732,8.48892453,341.9000049,263.5000053,585.5000086,145.4000025,6620,5522,128794,63567,41830,12029,9664,-999,64594,10240,10128,44558,0.202,0.565,0.768,0.512,0.298333333,0.344444444,0.315,0.312222222,11.0254258,6.264147736,26.25056954,610.2458606,22.689999,-1.172903204,23.8629022,16.92731872,11.1744621,18.89328643,4.0231647,1336.300021,303.600004,35.4000002,72.33583595,627.5000123,145.4000025,585.5000086,348.100006,2.041107167,2.778757733,2.538025,2.986969
CH070,2021,0,235,5.0054761,11.82129,20.05322167,17.36033297,-7.096773932,-3.271720324,9.75077746,-1.148666682,-0.973365295,3.908337983,14.59838562,7.174573348,266.2000055,281.9666669,556.2000002,315.5333388,8465,8665,350986,180156,112257,45560,22563,-999,171141,35266,23354,112025,0.313,0.668,0.697,0.559,0.151666667,0.314722222,0.303333333,0.169722222,8.578630215,4.803294604,21.05715185,611.0134146,19.449999,-3.360752605,22.8107516,14.22302769,4.915335708,16.73363698,1.690539636,1419.900011,296.0666661,46.10000064,59.7002977,606.4666673,156.9333356,556.2000002,266.2000055,2.981292767,3.400878867,1.4945068,1.9172363
DE122,2021,0,6243,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,13057,7849,308436,150707,99613,33184,18219,21136.7,159887,24813,19069,113643,0.423,0.73,0.828,0.661,0.108333333,0.305833333,0.260833333,0.148055556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.5450643,2.091461167,2.3013,2.6607056
DE124,2021,0,6243,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,15065,14494,232091,116780,73036,28416,15155,9240.33,114941,22449,16316,76082,0.348,0.682,0.705,0.578,0.105833333,0.245,0.236666667,0.124444444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.6194763,2.1164856,1.9731445,2.2929993
